Found total gpus 4
2023-07-14 13:32:17,074 - Added key: store_based_barrier_key:1 to store for rank: 3
2023-07-14 13:32:17,079 - Added key: store_based_barrier_key:1 to store for rank: 2
2023-07-14 13:32:17,462 - Added key: store_based_barrier_key:1 to store for rank: 1
2023-07-14 13:34:37,143 - Waiting in store based barrier to initialize process group for rank: 3, key: store_based_barrier_key:1 (world_size=8, worker_count=3, timeout=0:30:00)
2023-07-14 13:34:37,175 - Waiting in store based barrier to initialize process group for rank: 2, key: store_based_barrier_key:1 (world_size=8, worker_count=3, timeout=0:30:00)
2023-07-14 13:34:37,540 - Waiting in store based barrier to initialize process group for rank: 1, key: store_based_barrier_key:1 (world_size=8, worker_count=3, timeout=0:30:00)
2023-07-14 13:34:47,153 - Waiting in store based barrier to initialize process group for rank: 3, key: store_based_barrier_key:1 (world_size=8, worker_count=3, timeout=0:30:00)
2023-07-14 13:34:47,184 - Waiting in store based barrier to initialize process group for rank: 2, key: store_based_barrier_key:1 (world_size=8, worker_count=3, timeout=0:30:00)
2023-07-14 13:34:47,540 - Waiting in store based barrier to initialize process group for rank: 1, key: store_based_barrier_key:1 (world_size=8, worker_count=3, timeout=0:30:00)
2023-07-14 13:34:57,154 - Waiting in store based barrier to initialize process group for rank: 3, key: store_based_barrier_key:1 (world_size=8, worker_count=3, timeout=0:30:00)
2023-07-14 13:34:57,186 - Waiting in store based barrier to initialize process group for rank: 2, key: store_based_barrier_key:1 (world_size=8, worker_count=3, timeout=0:30:00)
2023-07-14 13:34:57,541 - Waiting in store based barrier to initialize process group for rank: 1, key: store_based_barrier_key:1 (world_size=8, worker_count=3, timeout=0:30:00)
2023-07-14 13:35:07,162 - Waiting in store based barrier to initialize process group for rank: 3, key: store_based_barrier_key:1 (world_size=8, worker_count=3, timeout=0:30:00)
2023-07-14 13:35:07,194 - Waiting in store based barrier to initialize process group for rank: 2, key: store_based_barrier_key:1 (world_size=8, worker_count=3, timeout=0:30:00)
2023-07-14 13:35:07,550 - Waiting in store based barrier to initialize process group for rank: 1, key: store_based_barrier_key:1 (world_size=8, worker_count=3, timeout=0:30:00)
slurmstepd: error: *** JOB 9391267 ON gra1155 CANCELLED AT 2023-07-14T13:35:08 ***
